Instance type,Release Date,Instance vCPU,Platform Total Number of vCPU,Platform CPU Name,Instance Memory (in GB),Platform Memory (in GB),Storage Info (Type and Size in GB),Storage Type,Platform Storage Drive Quantity,Platform GPU Quantity,Platform GPU Name,Instance Number of GPU,Instance GPU memory (in GB),PkgWatt @ Idle,PkgWatt @ 10%,PkgWatt @ 50%,PkgWatt @ 100%,RAMWatt @ Idle,RAMWatt @ 10%,RAMWatt @ 50%,RAMWatt @ 100%,GPUWatt @ Idle,GPUWatt @ 10%,GPUWatt @ 50%,GPUWatt @ 100%,Delta Full Machine,Instance @ Idle,Instance @ 10%,Instance @ 50%,Instance @ 100%,Platform Additional Memory Scope 3 Emissions,Platform Additional Storage Scope 3 Emissions,Platform Additional GPU Scope 3 Emissions,Platform Additional CPU Scope 3 Emissions,Total Platform Scope 3 Emissions  (kgCO₂eq),Instance Hourly Manufacturing Emissions (gCO₂eq),Hardware Information on AWS Documentation & Comments
c3-highcpu-88,,88,176,Xeon Platinum 8481C,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3-highcpu-176,,176,176,Xeon Platinum 8481C,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3-highmem-4,,4,176,Xeon Platinum 8481C,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3-highmem-8,,8,176,Xeon Platinum 8481C,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3-highmem-22,,22,176,Xeon Platinum 8481C,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3-highmem-44,,44,176,Xeon Platinum 8481C,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3-highmem-88,,88,176,Xeon Platinum 8481C,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3-highmem-176,,176,176,Xeon Platinum 8481C,1408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2-standard-2,,2,32,Xeon Scalable Platinum 8173M / EPYC 7B13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2-standard-4,,4,32,Xeon Scalable Platinum 8173M / EPYC 7B14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2-standard-8,,8,32,Xeon Scalable Platinum 8173M / EPYC 7B15,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2-standard-16,,16,32,Xeon Scalable Platinum 8173M / EPYC 7B16,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2-standard-32,,32,32,Xeon Scalable Platinum 8173M / EPYC 7B17,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2-highmem-2,,2,32,Xeon Scalable Platinum 8173M / EPYC 7B18,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2-highmem-4,,4,32,Xeon Scalable Platinum 8173M / EPYC 7B19,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2-highmem-8,,8,32,Xeon Scalable Platinum 8173M / EPYC 7B20,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2-highmem-16,,16,32,Xeon Scalable Platinum 8173M / EPYC 7B21,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2-highcpu-2,,2,32,Xeon Scalable Platinum 8173M / EPYC 7B22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2-highcpu-4,,4,32,Xeon Scalable Platinum 8173M / EPYC 7B23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2-highcpu-8,,8,32,Xeon Scalable Platinum 8173M / EPYC 7B24,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2-highcpu-16,,16,32,Xeon Scalable Platinum 8173M / EPYC 7B25,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2-highcpu-32,,32,32,Xeon Scalable Platinum 8173M / EPYC 7B26,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-standard-2,,2,128,Xeon Gold 6268CL,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-standard-4,,4,128,Xeon Gold 6268CL,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-standard-8,,8,128,Xeon Gold 6268CL,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-standard-16,,16,128,Xeon Gold 6268CL,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-standard-32,,32,128,Xeon Gold 6268CL,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
